id	title	description	link	image_link	availability	price	brand	gender	size	item_group_id
19381-42-44	Брюки спортивные	Брюки спортивные	https://m.ququ.shop/product/106830-UCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/106830-UCALTR-0.jpg	in_stock	2099 TJS	EA7	female	size: 42/44	19381
19381-44-46	Брюки спортивные	Брюки спортивные	https://m.ququ.shop/product/106830-UCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/106830-UCALTR-0.jpg	in_stock	2099 TJS	EA7	female	size: 44/46	19381
19381-46-48	Брюки спортивные	Брюки спортивные	https://m.ququ.shop/product/106830-UCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/106830-UCALTR-0.jpg	in_stock	2099 TJS	EA7	female	size: 46/48	19381
19381-48-50	Брюки спортивные	Брюки спортивные	https://m.ququ.shop/product/106830-UCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/106830-UCALTR-0.jpg	in_stock	2099 TJS	EA7	female	size: 48/50	19381
31384-42	Футболка	Футболка	https://m.ququ.shop/product/109805-MCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/109805-MCALTR-0.jpg	in_stock	2049 TJS	Love Moschino	female	size: 42	31384
27457-00	Сумка	Сумка	https://m.ququ.shop/product/105511-VCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/105511-VCALTR-0.jpg	in_stock	4449 TJS	Pinko	female	size: 00	27457
29471-40-42	Платье	Платье	https://m.ququ.shop/product/107133-UCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/107133-UCALTR-0.jpg	in_stock	5299 TJS	Max&Co	female	size: 40/42	29471
29471-44-46	Платье	Платье	https://m.ququ.shop/product/107133-UCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/107133-UCALTR-0.jpg	in_stock	5299 TJS	Max&Co	female	size: 44/46	29471
19119-40-42	Топ спортивный	Топ спортивный	https://m.ququ.shop/product/102013-VCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/102013-VCALTR-0.jpg	in_stock	899 TJS	Hugo	female	size: 40/42	19119
19119-42-44	Топ спортивный	Топ спортивный	https://m.ququ.shop/product/102013-VCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/102013-VCALTR-0.jpg	in_stock	899 TJS	Hugo	female	size: 42/44	19119
19119-44-46	Топ спортивный	Топ спортивный	https://m.ququ.shop/product/102013-VCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/102013-VCALTR-0.jpg	in_stock	899 TJS	Hugo	female	size: 44/46	19119
19119-46-48	Топ спортивный	Топ спортивный	https://m.ququ.shop/product/102013-VCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/102013-VCALTR-0.jpg	in_stock	899 TJS	Hugo	female	size: 46/48	19119
19119-48-50	Топ спортивный	Топ спортивный	https://m.ququ.shop/product/102013-VCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/102013-VCALTR-0.jpg	in_stock	899 TJS	Hugo	female	size: 48/50	19119
19119-50-52	Топ спортивный	Топ спортивный	https://m.ququ.shop/product/102013-VCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/102013-VCALTR-0.jpg	in_stock	899 TJS	Hugo	female	size: 50/52	19119
