id,title,description,gender,availability,inventory,condition,price,sale_price,link,image_link,brand,size,product_type,item_group_id
58896-54-56,Boss,Футболка,men,in stock,100,new,"1899,00 TJS","1899,00 TJS",https://m.ququ.shop/product/104109-TCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/104109-TCALTR-0.jpg,Boss,size: 54/56,Футболка,58896
50705-42-44,Diesel,Джинсы,men,in stock,100,new,"2599,00 TJS","2599,00 TJS",https://m.ququ.shop/product/104655-SCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/104655-SCALTR-0.jpg,Diesel,size: 42/44,Джинсы,50705
50705-44,Diesel,Джинсы,men,in stock,100,new,"2599,00 TJS","2599,00 TJS",https://m.ququ.shop/product/104655-SCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/104655-SCALTR-0.jpg,Diesel,size: 44,Джинсы,50705
50705-44-46,Diesel,Джинсы,men,in stock,100,new,"2599,00 TJS","2599,00 TJS",https://m.ququ.shop/product/104655-SCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/104655-SCALTR-0.jpg,Diesel,size: 44/46,Джинсы,50705
52195-40-42,Karl Lagerfeld,Шорты джинсовые,women,in stock,100,new,"2699,00 TJS","2699,00 TJS",https://m.ququ.shop/product/101042-PCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/101042-PCALTR-0.jpg,Karl Lagerfeld,size: 40/42,Шорты,52195
49650-42,Boutique Moschino,Брюки,women,in stock,100,new,"5299,00 TJS","5299,00 TJS",https://m.ququ.shop/product/2THHHW-E630OB,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/2THHHW-E630OB-0.jpg,Boutique Moschino,size: 42,Брюки,49650
51627-37,Tommy Hilfiger,Кроссовки,women,in stock,100,new,"3199,00 TJS","3199,00 TJS",https://m.ququ.shop/product/107226-WCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/107226-WCALTR-0.jpg,Tommy Hilfiger,size: 37,Кроссовки,51627
51627-38,Tommy Hilfiger,Кроссовки,women,in stock,100,new,"3199,00 TJS","3199,00 TJS",https://m.ququ.shop/product/107226-WCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/107226-WCALTR-0.jpg,Tommy Hilfiger,size: 38,Кроссовки,51627
51627-39,Tommy Hilfiger,Кроссовки,women,in stock,100,new,"3199,00 TJS","3199,00 TJS",https://m.ququ.shop/product/107226-WCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/107226-WCALTR-0.jpg,Tommy Hilfiger,size: 39,Кроссовки,51627
54228-52-54,Versace Jeans Couture,Футболка,men,in stock,100,new,"4199,00 TJS","4199,00 TJS",https://m.ququ.shop/product/106392-UCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/106392-UCALTR-0.jpg,Versace Jeans Couture,size: 52/54,Футболка,54228
58960-46-48,Boss,Рубашка,men,in stock,100,new,"2699,00 TJS","2699,00 TJS",https://m.ququ.shop/product/108013-ADALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/108013-ADALTR-0.jpg,Boss,size: 46/48,Рубашка,58960
58960-48-50,Boss,Рубашка,men,in stock,100,new,"2699,00 TJS","2699,00 TJS",https://m.ququ.shop/product/108013-ADALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/108013-ADALTR-0.jpg,Boss,size: 48/50,Рубашка,58960
58960-50-52,Boss,Рубашка,men,in stock,100,new,"2699,00 TJS","2699,00 TJS",https://m.ququ.shop/product/108013-ADALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/108013-ADALTR-0.jpg,Boss,size: 50/52,Рубашка,58960
58960-54-56,Boss,Рубашка,men,in stock,100,new,"2699,00 TJS","2699,00 TJS",https://m.ququ.shop/product/108013-ADALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/108013-ADALTR-0.jpg,Boss,size: 54/56,Рубашка,58960
58960-56-58,Boss,Рубашка,men,in stock,100,new,"2699,00 TJS","2699,00 TJS",https://m.ququ.shop/product/108013-ADALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/108013-ADALTR-0.jpg,Boss,size: 56/58,Рубашка,58960
55392-24-L30,Diesel,Джинсы,women,in stock,100,new,"4899,00 TJS","4899,00 TJS",https://m.ququ.shop/product/105950-TCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/105950-TCALTR-0.jpg,Diesel,size: 24/L30,Джинсы,55392
52682-95,Aeronautica Militare,Ремень,men,in stock,100,new,"1599,00 TJS","1599,00 TJS",https://m.ququ.shop/product/100203-ADALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/100203-ADALTR-0.jpg,Aeronautica Militare,size: 95,Ремень,52682
52682-100,Aeronautica Militare,Ремень,men,in stock,100,new,"1599,00 TJS","1599,00 TJS",https://m.ququ.shop/product/100203-ADALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/100203-ADALTR-0.jpg,Aeronautica Militare,size: 100,Ремень,52682
52682-105,Aeronautica Militare,Ремень,men,in stock,100,new,"1599,00 TJS","1599,00 TJS",https://m.ququ.shop/product/100203-ADALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/100203-ADALTR-0.jpg,Aeronautica Militare,size: 105,Ремень,52682
52682-110,Aeronautica Militare,Ремень,men,in stock,100,new,"1599,00 TJS","1599,00 TJS",https://m.ququ.shop/product/100203-ADALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/100203-ADALTR-0.jpg,Aeronautica Militare,size: 110,Ремень,52682
52682-115,Aeronautica Militare,Ремень,men,in stock,100,new,"1599,00 TJS","1599,00 TJS",https://m.ququ.shop/product/100203-ADALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/100203-ADALTR-0.jpg,Aeronautica Militare,size: 115,Ремень,52682
50393-46-48,Hugo,Брюки,men,in stock,100,new,"2849,00 TJS","2849,00 TJS",https://m.ququ.shop/product/109848-YCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/109848-YCALTR-0.jpg,Hugo,size: 46/48,Брюки,50393
50393-48-50,Hugo,Брюки,men,in stock,100,new,"2849,00 TJS","2849,00 TJS",https://m.ququ.shop/product/109848-YCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/109848-YCALTR-0.jpg,Hugo,size: 48/50,Брюки,50393
50393-50-52,Hugo,Брюки,men,in stock,100,new,"2849,00 TJS","2849,00 TJS",https://m.ququ.shop/product/109848-YCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/109848-YCALTR-0.jpg,Hugo,size: 50/52,Брюки,50393
50393-52-54,Hugo,Брюки,men,in stock,100,new,"2849,00 TJS","2849,00 TJS",https://m.ququ.shop/product/109848-YCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/109848-YCALTR-0.jpg,Hugo,size: 52/54,Брюки,50393
50393-54-56,Hugo,Брюки,men,in stock,100,new,"2849,00 TJS","2849,00 TJS",https://m.ququ.shop/product/109848-YCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/109848-YCALTR-0.jpg,Hugo,size: 54/56,Брюки,50393
59855-38,Tommy Hilfiger,Жакет,women,in stock,100,new,"5099,00 TJS","5099,00 TJS",https://m.ququ.shop/product/209130-TCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/209130-TCALTR-0.jpg,Tommy Hilfiger,size: 38,Жакет,59855
59855-40,Tommy Hilfiger,Жакет,women,in stock,100,new,"5099,00 TJS","5099,00 TJS",https://m.ququ.shop/product/209130-TCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/209130-TCALTR-0.jpg,Tommy Hilfiger,size: 40,Жакет,59855
44769-42,Pinko,Жакет,women,in stock,100,new,"7449,00 TJS","7449,00 TJS",https://m.ququ.shop/product/100147-UCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/100147-UCALTR-0.jpg,Pinko,size: 42,Жакет,44769
54972-35,Liu Jo,Кроссовки,women,in stock,100,new,"4499,00 TJS","4499,00 TJS",https://m.ququ.shop/product/102545-VCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/102545-VCALTR-0.jpg,Liu Jo,size: 35,Кроссовки,54972
54972-36,Liu Jo,Кроссовки,women,in stock,100,new,"4499,00 TJS","4499,00 TJS",https://m.ququ.shop/product/102545-VCALTR,https://storage.googleapis.com/static.ququ.shop/img/product/600x866/102545-VCALTR-0.jpg,Liu Jo,size: 36,Кроссовки,54972
